Method,model,params,p1_mean,p1_std,p2_mean,p2_std,p3_mean,p3_std,p4_mean,p4_std,Time_s,nqpp,chi2,n_data,chi2_red,AIC,BIC,acceptance,final_KL,ESS,dataset,prior
Classical MCMC,lcdm,Om|H0,0.259918,0.015362,70.583993,1.061857,,,,,0.4,—,27.4691,51,0.5606,31.4691,35.3328,0.5233,,79.6,CC+BAO,flat,none,auto,7,,
QMCMC 50%,lcdm,Om|H0,0.257910,0.021596,70.752297,1.461780,,,,,2.7,2,27.4691,51,0.5606,31.4691,35.3328,0.5022,,134.3,CC+BAO,flat,none,auto,7,,
QMCMC 100%,lcdm,Om|H0,0.257910,0.021596,70.752297,1.461780,,,,,3.9,2,27.4691,51,0.5606,31.4691,35.3328,0.5022,,134.3,CC+BAO,flat,none,auto,7,,
Classical VI,lcdm,Om|H0,0.263088,0.022584,70.433643,1.583358,,,,,3.0,—,27.4691,51,0.5606,31.4691,35.3328,,0.041403,6000.0,CC+BAO,flat,none,auto,7,,
QVMC 33%,lcdm,Om|H0,0.263187,0.022551,70.429902,1.589151,,,,,3.2,2,27.4691,51,0.5606,31.4691,35.3328,,0.041403,6000.0,CC+BAO,flat,none,auto,7,,
QVMC 67%,lcdm,Om|H0,0.267458,0.048667,69.633531,3.350551,,,,,1.1,2,27.4691,51,0.5606,31.4691,35.3328,,12.616244,6000.0,CC+BAO,flat,none,auto,7,,
QVMC 100%,lcdm,Om|H0,0.267458,0.048667,69.633531,3.350551,,,,,1.2,2,27.4691,51,0.5606,31.4691,35.3328,,12.616244,6000.0,CC+BAO,flat,none,auto,7,,
Classical MCMC,lcdm,Om|H0,0.259918,0.015362,70.583993,1.061857,,,,,0.4,—,27.4691,51,0.5606,31.4691,35.3328,0.5233,,79.6,CC+BAO,flat,none,auto,7,,
QMCMC 50%,lcdm,Om|H0,0.257910,0.021596,70.752297,1.461780,,,,,2.7,2,27.4691,51,0.5606,31.4691,35.3328,0.5022,,134.3,CC+BAO,flat,none,auto,7,,
QMCMC 100%,lcdm,Om|H0,0.257910,0.021596,70.752297,1.461780,,,,,4.0,2,27.4691,51,0.5606,31.4691,35.3328,0.5022,,134.3,CC+BAO,flat,none,auto,7,,
Classical VI,lcdm,Om|H0,0.263088,0.022584,70.433643,1.583358,,,,,3.3,—,27.4691,51,0.5606,31.4691,35.3328,,0.041403,6000.0,CC+BAO,flat,none,auto,7,circuits,570
QVMC 33%,lcdm,Om|H0,0.263187,0.022551,70.429902,1.589151,,,,,3.3,2,27.4691,51,0.5606,31.4691,35.3328,,0.041403,6000.0,CC+BAO,flat,none,auto,7,circuits,570
QVMC 67%,lcdm,Om|H0,0.267458,0.048667,69.633531,3.350551,,,,,1.2,2,27.4691,51,0.5606,31.4691,35.3328,,12.616244,6000.0,CC+BAO,flat,none,auto,7,circuits,627
QVMC 100%,lcdm,Om|H0,0.267458,0.048667,69.633531,3.350551,,,,,1.3,2,27.4691,51,0.5606,31.4691,35.3328,,12.616244,6000.0,CC+BAO,flat,none,auto,7,circuits,627
